name,freebase_id,dob
Al-Mutanabbi,/m/03pqg1,
Ali ibn al-Madini,/m/0fdv84,
Emil Lask,/m/05p584l,
Alan Soble,/m/08640j,
Leucippus,/m/04k42,
Al-Khazini,/m/02rpzkf,
Knud Ejler Løgstrup,/m/02nkhj,
Bruce Lee,/m/099d4,
William Alston,/m/081l4,
Robert Paul Wolff,/m/032yvb,
Robert C. Solomon,/m/03w26z,
Louis Michael Seidman,/m/0ds4g6n,
Peter G. Ossorio,/m/0c41jl_,
Edith Stein,/m/0bxhd,
Douglas Hofstadter,/m/02fcx,
Empedocles,/m/02lvm,
Ernest Nagel,/m/04j3_z,
Friedrich Hayek,/m/032r1,
Fyodor Dostoyevsky,/m/032l1,
Francis Fukuyama,/m/02_jg,
Theognostus of Alexandria,/m/043sk2n,
Gregory of Nyssa,/m/09g_z,
Hildegard of Bingen,/m/03kf2,
Ramon Llull,/m/0j3_p,
Raymond Aron,/m/01tw09,
Jürgen Habermas,/m/044wb,
Julia Kristeva,/m/046gs,
William of Ockham,/m/0848q,
John Wycliffe,/m/046f1,
Mikhail Bakhtin,/m/02rxg8,
Gaetano Mosca,/m/09cfqh,
Karl Popper,/m/047g6,
Martin Heidegger,/m/099bk,
Marsilio Ficino,/m/050gd,
"Nicolas de Caritat, marquis de Condorcet",/m/09dyk,
Kurt Gödel,/m/048c2,
Alfred Tarski,/m/0g9m4,
Max Weber,/m/04xm_,
Maurice Merleau-Ponty,/m/04xbh,
Mordecai Kaplan,/m/056d_,
Hazrat Babajan,/m/0cpsbj,
Meher Baba,/m/057p_,
Upasni Maharaj,/m/0cprqc,
Oswald Spengler,/m/05nj0,
Taha Hussein,/m/05n4mk,
Peter Singer,/m/05xnb,
Paul Valéry,/m/05vy1,
Pope John Paul II,/m/05yfx,
Josef Pieper,/m/0770h_,
Pherecydes of Syros,/m/03g3d3,
Thales,/m/07dl6,
Robert Anton Wilson,/m/06hgj,
Poul Martin Møller,/m/0193t0,
Robert M. Pirsig,/m/06hkh,
Friedrich Adolf Trendelenburg,/m/04q1q6,
Étienne Gilson,/m/044g6w,
Olaf Stapledon,/m/0ph77,
Umberto Eco,/m/07vw5,
Ted Nelson,/m/07rrt,
Khwaja Shamsuddin Azeemi,/m/0264nkt,
Vladimir Vernadsky,/m/07zsx,
Himerius,/m/05cdm7,
Zeno of Citium,/m/09863,
Christian Jakob Kraus,/m/0ckcm9,
Joshua Knobe,/m/043qvvf,
Crates of Thebes,/m/0krkh,
Richard Hönigswald,/m/09hz57,
Aron Gurwitsch,/m/066v4x,
John Austin,/m/03r2d0,
Joseph Raz,/m/07c37_,
Oksana Zabuzhko,/m/027s_gd,
Susan Haack,/m/01vmpn,
Richard Taylor,/m/05y7f05,
Fethullah Gülen,/m/04pl6c,
Ernest Lepore,/m/02rc14f,
Bernard Gert,/m/03t2dq,
Clitomachus,/m/06h032,
Lon L. Fuller,/m/0209h5,
Brian Barry,/m/06q4kd,
Luciano Floridi,/m/0c6g6s,
Kurt Singer,/m/0dttqg,
Diogenes Allen,/m/05x_nj4,
François Picavet,/m/0b5j3b,
Fred Feldman,/m/05x_yml,
Richard Popkin,/m/04hlxr,
Ernst Bloch,/m/02r76r,
Graham Harman,/m/08fzjv,
Ibn Yunus,/m/03xxhv,
Ch'ien Mu,/m/03nnc3d,
Chris Harman,/m/02vk95,
Héctor-Neri Castañeda,/m/0kt7yn,
Pierre Hadot,/m/05vdbw9,
Paolo Virno,/m/04jb0c0,
