"p","influenced"
"http://dbpedia.org/resource/Ibn_Jurayj","http://rdf.freebase.com/ns/m.0h1vfb"
"http://dbpedia.org/resource/Louis_Arnaud_Reid","http://rdf.freebase.com/ns/m.0c4hxp9"
"http://dbpedia.org/resource/Theophilos_Kairis","http://rdf.freebase.com/ns/m.0841_p"
"http://dbpedia.org/resource/Al-Dhahabi","http://rdf.freebase.com/ns/m.063cnf"
"http://dbpedia.org/resource/Hubert_Schleichert","http://rdf.freebase.com/ns/m.06jyv8"
"http://dbpedia.org/resource/Pino_Rauti","http://rdf.freebase.com/ns/m.06ph4m"
"http://dbpedia.org/resource/James_Bugental","http://rdf.freebase.com/ns/m.027f4w0"
"http://dbpedia.org/resource/Georg_Wenker","http://rdf.freebase.com/ns/m.03c2j59"
"http://dbpedia.org/resource/Nijaz_Ibrulj","http://rdf.freebase.com/ns/m.0bh8xpk"
"http://dbpedia.org/resource/Abd_al-Rahman_al-Kawakibi","http://rdf.freebase.com/ns/m.02r88dx"
"http://dbpedia.org/resource/Alexander_Spirkin","http://rdf.freebase.com/ns/m.0g9xzsd"
"http://dbpedia.org/resource/Miriam_Solomon","http://rdf.freebase.com/ns/m.0x1zs1r"
"http://dbpedia.org/resource/Reza_Negarestani","http://rdf.freebase.com/ns/m.0j7lps1"
"http://dbpedia.org/resource/Kathryn_Gines","http://rdf.freebase.com/ns/m.0wyls4p"
"http://dbpedia.org/resource/Kiarina_Kordela","http://rdf.freebase.com/ns/m.0c3tdp1"
"http://dbpedia.org/resource/Louise_Antony","http://rdf.freebase.com/ns/m.0102jh0d"
