no,fb1,fb2,name_x,phil_x,writ_x,name_y,phil_y,writ_y
26933,/m/04y41,/m/0q56kx6,,,,,,
26934,/m/04y41,/m/02vkx2_,,,,TJ Norris,,
26935,/m/057k3,/m/0pcff5t,,,,,,
26936,/m/04z0g,/m/05vxst0,Milton Friedman,,1.0,,,
26937,/m/05g_3,/m/0n53jy8,,,,,,
26938,/m/09wmx,/m/0ncc1sv,,,,,,
26939,/m/09wmx,/m/0dbjtf,,,,,,
26940,/m/05d10,/m/011pybdt,Niklas Luhmann,,,,,
26941,/m/05mrv,/m/02vhb8,,,,,,
26942,/m/05mrv,/m/042tyz,,,,,,
26943,/m/05mrv,/m/07sbkfb,,,,,,
26944,/m/09xfc,/m/06v480,,,,,,
26945,/m/05cz8,/m/0gvtssp,Nicanor Parra,,,Cristian Hernandez Gonzalez,,1.0
26946,/m/05mrv,/m/01k159,,,,,,
26947,/m/05ms9,/m/02npry,,,,,,
26948,/m/0b78hw,/m/018h54,Noam Chomsky,1.0,1.0,,,
26949,/m/05p2d,/m/0ccm95,,,,Carter Revard,,1.0
26950,/m/059y0,/m/0c1fq_,Niels Henrik David Bohr,,,,,
26951,/m/09xfc,/m/09gbgqb,,,,,,
26952,/m/09wmx,/m/0x21wvz,,,,,,
26953,/m/09xfc,/m/042rx6,,,,Gerald Brom,,
26954,/m/09wmx,/m/0gfg52c,,,,,,
26955,/m/05jm7,/m/0gwyn71,Neil Gaiman,,1.0,,,
26956,/m/09xfc,/m/0805x2f,,,,,,
26957,/m/09xfc,/m/0bhbjms,,,,,,
26958,/m/09xfc,/m/0fph3_c,,,,,,
26959,/m/09wmx,/m/05b4196,,,,,,
26960,/m/09xfc,/m/03cj5h5,,,,Bo Bartlett,,
26961,/m/060_7,/m/0cx01,Pablo Picasso,,,Dick Bruna,,1.0
26962,/m/060_7,/m/028xw4,Pablo Picasso,,,Ben Shahn,,
26963,/m/060_7,/m/02pws1y,Pablo Picasso,,,Joan Glass,,
26964,/m/060_7,/m/09gh2sj,Pablo Picasso,,,,,
26965,/m/060_7,/m/0ll3wgt,Pablo Picasso,,,,,
26966,/m/060_7,/m/05l5s0,Pablo Picasso,,,David Smith,,
26967,/m/060_7,/m/03q7b39,Pablo Picasso,,,,,
26968,/m/060_7,/m/0ll3c5y,Pablo Picasso,,,,,
26969,/m/060_7,/m/03ykw6,Pablo Picasso,,,Byron Galvez,,
26970,/m/060_7,/m/02w9dzd,Pablo Picasso,,,Claudio Bravo,,
26971,/m/060_7,/m/0j7m99g,Pablo Picasso,,,,,
26972,/m/060_7,/m/05mtcgm,Pablo Picasso,,,Jan Matulka,,
26973,/m/060kv,/m/0w677kq,,,,,,
26974,/m/060_7,/m/037f3,Pablo Picasso,,,Georges Braque,,
26975,/m/060_7,/m/0c241_,Pablo Picasso,,,John D. Graham,,
26976,/m/060_7,/m/0h_d6mk,Pablo Picasso,,,,,
26977,/m/060_7,/m/02kj95,Pablo Picasso,,,Alexandra Nechita,,
26978,/m/060_7,/m/01ncx5,Pablo Picasso,,,Wifredo Lam,,
26979,/m/060_7,/m/0dxx6h,Pablo Picasso,,,Ronnie Landfield,,
26980,/m/060kv,/m/06mmmy,,,,,,
26981,/m/05ms9,/m/05p474m,,,,,,
26982,/m/0c42n,/m/06w374k,,,,Israel Levitan,,
26983,/m/060_7,/m/0bbx5x7,Pablo Picasso,,,,,
26984,/m/060_7,/m/0_1gz3h,Pablo Picasso,,,,,
26985,/m/060kv,/m/05mxmzj,,,,,,
26986,/m/060_7,/m/05jng5,Pablo Picasso,,,Charles Sheeler,,
26987,/m/060_7,/m/04yhhk8,Pablo Picasso,,,Maurice Cloud,,
26988,/m/060_7,/m/0125l4g_,Pablo Picasso,,,,,
26989,/m/060kv,/m/0zc0qfm,,,,,,
26990,/m/060kv,/m/02vz9_h,,,,,,
26991,/m/060_7,/m/039gl6,Pablo Picasso,,,Louise Nevelson,,
26992,/m/060_7,/m/0bqd8b,Pablo Picasso,,,,,
26993,/m/060_7,/m/0b0x2v,Pablo Picasso,,,,,
26994,/m/060_7,/m/0fpgh_5,Pablo Picasso,,,,,
